Epoch,Train Recall,Train Precision,Train Accuracy,Validation Recall,Validation Precision,Validation Accuracy,Validation F1 Score
1,0.5293874,0.6761829,0.6379346,0.0058536585,0.54545456,0.5004878,0.011583009191761523
2,0.51324505,0.68593556,0.6391246,0.031707317,0.57522124,0.50414634,0.06010169500064307
3,0.4986548,0.68074584,0.6323986,0.013658537,0.56,0.5014634,0.02666666247271536
4,0.522144,0.67154646,0.6333816,0.039512195,0.49390244,0.4995122,0.0731707150941553
5,0.4951366,0.67622954,0.6290356,0.049268294,0.50248754,0.5002439,0.08973787677539488
6,0.549048,0.65530443,0.6301221,0.054146342,0.5022625,0.5002439,0.09775427458853919
7,0.54045945,0.6629014,0.6328125,0.05902439,0.55760366,0.50609756,0.10674899301198831
8,0.51438326,0.67385113,0.632709,0.004390244,0.64285713,0.5009756,0.008720929269992189
9,0.9011796,0.5205619,0.535596,0.18780488,0.57894737,0.52560973,0.28360953822196633
10,0.61982614,0.62873936,0.6269143,0.02,0.7735849,0.50707316,0.03899191167231749
11,0.5857823,0.64601165,0.6323986,0.015121951,0.4920635,0.4997561,0.02934216048023819
12,0.48427153,0.6945681,0.6356581,0.01609756,0.67346936,0.50414634,0.031443540472855636
13,0.5188328,0.6772015,0.6357616,0.014634146,0.6818182,0.50390244,0.02865329078486378
14,0.51769453,0.6749865,0.63420945,0.003902439,1.0,0.5019512,0.007774537648413973
15,0.61817056,0.6183625,0.61832577,0.004878049,0.6666667,0.5012195,0.009685228833828472
16,0.73313326,0.5860215,0.6076159,0.17414634,0.5891089,0.52634144,0.2688252588097565
17,0.67311674,0.61148715,0.6227235,0.04195122,0.6666667,0.5104878,0.07893527946087144
18,0.5649834,0.6703499,0.6435741,0.05609756,0.6353591,0.5119512,0.10309276348576389
19,0.6371068,0.644105,0.6425393,0.07463415,0.6652174,0.51853657,0.1342105158078762
20,0.70188326,0.5985704,0.6155836,0.11804878,0.6576087,0.52829266,0.20016539249110876
21,0.72547597,0.6058066,0.6267074,0.18439025,0.5924765,0.52878046,0.28124997098979704
22,0.6721854,0.6209731,0.6309499,0.16390243,0.6363636,0.535122,0.2606671417568637
23,0.6221027,0.6823289,0.6662355,0.19414634,0.6039454,0.53341466,0.2938353180738187
24,0.7020902,0.6357163,0.6498862,0.20292683,0.6037736,0.5348781,0.30376046897937053
25,0.6901904,0.6628901,0.6695985,0.30487806,0.62189054,0.5597561,0.40916526510620843
26,0.82978064,0.58558494,0.6212748,0.22585365,0.6511955,0.55243903,0.33538568887252457
27,0.7392384,0.63226837,0.6546461,0.28878048,0.6331551,0.5607317,0.3966498836097184
28,0.67301327,0.6950946,0.68889695,0.39121953,0.6728188,0.6004878,0.49475627786510484
29,0.7092301,0.69176424,0.696606,0.37365854,0.67488986,0.5968293,0.481004658384141
30,0.7282699,0.70260555,0.71000624,0.4009756,0.66183573,0.5980488,0.4993924161224776
31,0.7428601,0.7043069,0.71549046,0.457561,0.65048546,0.6058537,0.5372279481294052
32,0.7779387,0.7115275,0.7312707,0.55365855,0.673191,0.642439,0.6076016648891694
33,0.7848717,0.70848125,0.73096025,0.50731707,0.67664284,0.632439,0.5798716678233972
34,0.7942881,0.7098206,0.7347889,0.4878049,0.67069083,0.62414634,0.5648121802201365
35,0.8087748,0.72129935,0.7481374,0.51512194,0.67175573,0.6317073,0.5831031607936015
36,0.8088783,0.72770435,0.7531043,0.5570732,0.66472644,0.63804877,0.6061570858050144
37,0.82688326,0.73003834,0.7605546,0.55268294,0.63866967,0.62,0.5925731882412559
38,0.8215025,0.7295534,0.7584851,0.562439,0.65437,0.6326829,0.6049317571607299
39,0.8307119,0.7357038,0.76614237,0.49658537,0.67417216,0.6282927,0.5719100550438492
40,0.8313328,0.73336375,0.76453847,0.5707317,0.6693364,0.6443902,0.6161137101101097
41,0.8460265,0.73657656,0.7717301,0.5082927,0.67009646,0.6290244,0.5780859463110494
42,0.85813326,0.74263453,0.7803705,0.57463413,0.6603139,0.6395122,0.6145017671728743
43,0.84219784,0.7414594,0.7742653,0.5404878,0.6814268,0.6439024,0.6028291446985049
44,0.8434396,0.74862236,0.78011173,0.5790244,0.66948676,0.64658535,0.6209782598066965
45,0.85337335,0.74850243,0.78331953,0.5478049,0.67528564,0.6421951,0.6049016725366998
46,0.8622723,0.7474883,0.78549254,0.6282927,0.6622108,0.6539024,0.6448059585728805
47,0.8665149,0.75056016,0.78926945,0.55414635,0.67418396,0.6431707,0.6082997805820274
48,0.85637414,0.7521585,0.78709644,0.50682926,0.65181935,0.6180488,0.5702524414334167
49,0.8612376,0.7569116,0.79232204,0.50585365,0.6840369,0.63609755,0.5816039563605043
50,0.8735513,0.7601981,0.79899627,0.46634147,0.6689993,0.6178049,0.5495831645717042
